Zone Risk Multiplier,Adj. Weekly Premium (Rs.),Mean Loss Ratio,Median Loss Ratio,P95 Loss Ratio,Prob. of Ruin (%),Mean Premiums (Rs.),Mean Payouts (Rs.)
1.0,35.0,0.159,0.1512,0.3225,13.6,9100000.0,1446955.0
1.05,36.75,0.1514,0.144,0.3072,13.1,9555000.0,1446955.0
1.1,38.5,0.1446,0.1375,0.2932,12.7,10010000.0,1446955.0
1.15,40.25,0.1383,0.1315,0.2805,11.9,10465000.0,1446955.0
1.2,42.0,0.1325,0.126,0.2688,11.2,10920000.0,1446955.0
1.25,43.75,0.1272,0.121,0.258,9.8,11375000.0,1446955.0
1.3,45.5,0.1223,0.1163,0.2481,9.2,11830000.0,1446955.0
1.35,47.25,0.1178,0.112,0.2389,8.7,12285000.0,1446955.0
1.4,49.0,0.1136,0.108,0.2304,8.1,12740000.0,1446955.0
1.45,50.75,0.1097,0.1043,0.2224,7.5,13195000.0,1446955.0
1.5,52.5,0.106,0.1008,0.215,7.1,13650000.0,1446955.0
